NISS_patient,medecin,inami_medecin,pharmacien,inami_pharmacien,medicament_nom_commercial,DCI,date_prescription,date_vente,duree_traitement
184232301592,HAREL,297935617514,HAMEL,709533908459,Lisinopril,MEFLOQUINE,04/09/1947,04/10/1947,730
184232301592,BARRE,168299837897,HUBERT,232805177428,Equibax,EXEMESTANE,09/22/1980,09/22/1980,730
184232301592,CADINOT,570327067778,BOURDON,4002240609,Irridin,CLOPIDOGREL,06/20/1977,06/20/1977,15
184232301592,BENOIST,820849292274,LEVASSEUR,803072306298,Grisovin,APIXABAN,12/18/1946,12/18/1946,56
184232301592,PORET,342625089196,DUMONTIER,509172505761,Imuran,CELECOXIB,09/26/2013,09/26/2013,56
184232301592,DESHAYES,730877845808,FERET,190355923201,Klaridex,EPLERENONE,02/11/1938,02/17/1938,7
184232301592,DUBOSC,831243339647,SENECAL,108708281011,Cosidil,THIOTEPA,07/15/2014,07/21/2014,2
184232301592,HAREL,297935617514,LEFEBVRE,402578170239,Liraglutid,MEFLOQUINE,05/09/2019,05/12/2019,3
184232301592,MOUQUET,665888657720,BLONDEL,916295870404,Macrogol,PROGUANIL,06/19/1950,06/25/1950,28
184232301592,MARTEL,66443930415,LECLERC,291447327833,Kanoprem,DICLOFENAC,02/04/2020,02/07/2020,15
184232301592,BOCQUET,65558722177,LECANU,606805240736,Cefidex,FOTEMUSTINE,08/20/1960,08/20/1960,3
184232301592,DESHAYES,730877845808,LEROY,943909328706,Havrix,ATORVASTATINE,10/15/2015,10/15/2015,56
184232301592,BUISSON,761120751368,LAINE,635454115643,Grifapril,APIXABAN,06/18/1957,06/21/1957,5
184232301592,MALANDAIN,330266523243,LEVASSEUR,211792820366,Maalox,PRASUGREL,09/26/1949,09/29/1949,15
184232301592,BARRE,564639629741,HENRY,718707341777,Liraglutid,MEFLOQUINE,03/03/1934,03/06/1934,3
184232301592,OLIVIER,950970788804,FRIBOULET,933812995526,Dicloflux,DOXORUBICINE,04/22/1953,04/22/1953,3650
184232301592,MABIRE,330578492076,LEMERCIER,893785511743,Loperamid,MIANSERINE,03/16/1958,03/17/1958,3650
184232301592,BOIVIN,513018177423,SEVESTRE,90627628981,Lotusix,NITRENDIPINE,05/14/1981,05/18/1981,7
184232301592,DELAUNE,611351830938,LAVENU,325655265749,M-Prednisolon,PRASUGREL,12/27/1952,12/31/1952,730
184232301592,CARON,208131386655,CAUVIN,25959248202,Livostin,METHYLPREDNISOLONE,03/15/1956,03/19/1956,3650
815401327094,JOLY,923330323668,ROUSSEAU,122944993242,Intalox,CLOBAZAM,08/08/2019,08/08/2019,15
815401327094,FERET,982805115978,ADAM,246773610886,Lorzaar,NAPROXENE,08/18/2019,08/23/2019,2
11502692278,RIOULT,297578058480,VAUTIER,346878859878,Lercolin,GLICLAZIDE,05/22/1994,05/22/1994,3
11502692278,DUFOUR,372994839118,MOTTE,970260812896,Benotrex,OXALIPLATINE,04/23/2012,04/23/2012,3650
11502692278,GOUPIL,392110851492,LEMESLE,149365200637,Litarex,MELOXICAM,08/11/2002,08/16/2002,5
11502692278,ALLAIS,376058875786,CLEMENT,732535611615,Kalestol,COLCHICINE,02/28/1995,03/01/1995,365
11502692278,LEROY,556615855355,LEFORT,499947416926,Graniset,AMITRIPTYLINE,04/15/1996,04/19/1996,28
11502692278,LECOMTE,501908044353,DELAHAYE,275722110964,Lemodil,GALANTAMINE,11/02/1997,11/08/1997,120
11502692278,LAMY,307468240579,LEPREVOST,513472881803,Leukostim,GLIPIZIDE,07/14/2003,07/17/2003,30
681856275223,MARY,958419757511,DENIS,980898490483,Loratul,MODAFINIL,09/05/1962,09/09/1962,56
681856275223,LEFRANCOIS,587318834205,LOISEL,798753907409,Lipoxen,MEFLOQUINE,09/12/1968,09/18/1968,5
681856275223,ARGENTIN,413082562057,QUESNEL,46207902490,Fenomax,LENALIDOMIDE,02/04/2002,02/08/2002,5
681856275223,LETAILLEUR,374227189439,LEMARIE,706768859486,Liraglutid,MEFLOQUINE,04/01/1994,04/06/1994,28
681856275223,MOTTE,72768837276,MOTTE,970260812896,Maxalt,RISPERIDONE,07/25/1966,07/31/1966,3650
250282214560,ROGER,635338131347,CHEVALLIER,767419623579,Mantadan,RABEPRAZOLE,03/07/2020,03/10/2020,365
250282214560,DESCHAMPS,868928069574,LEVILLAIN,644064691457,Lucen,OMEPRAZOLE,09/03/2013,09/06/2013,365
250282214560,RICHARD,925057210698,MOUCHARD,37878730881,Glicim,ACENOCOUMAROL,10/19/2016,10/19/2016,28
250282214560,PELLETIER,672144058521,ROUSSELIN,526534691848,Lumefantrin,ONDANSETRON,01/27/2012,01/29/2012,7
250282214560,GRANCHER,181861372934,BOUDIN,1762578168,Glyburin,ACENOCOUMAROL,04/13/2017,04/14/2017,15
